index,mse,js_per_seq,js_conc,poiss,pr_corr,sp_corr,targets,pred type,eval type,bin_size,data_dir,l_rate,loss_fn,model_fn,num_epochs,window_size,run_dir
2,5.2031364,0.46686503,0.513493960358965,,0.5932939817972928,0.6271388848965418,HepG2,scaled,whole,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
3,14.8730545,0.33298603,0.39527690410554694,,-0.5694284485281482,-0.4480787708138397,RWPE2,scaled,whole,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
4,11.230947,0.48645312,0.5364873995514451,,0.4207040916356132,0.2725497961538829,HG03575,scaled,whole,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
5,6.208907,0.36862656,0.4262686223635428,,-0.6352086737926603,-0.5926764051816891,K562,scaled,whole,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
6,5.7735643,0.5086473,0.5502574675649919,,0.49870284132338116,0.3242940974223842,DND-41,scaled,whole,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
7,25.082153,0.5263539,0.5732458267226369,,0.5767617918041685,0.495586655676052,GM12878,scaled,whole,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
8,7.8031464,0.34812453,0.42754434692964816,,-0.6759364904124892,-0.6504164800972126,A549,scaled,whole,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
9,72.58102,0.49034268,0.5861833692316245,,0.6377262041862114,0.4289119345139468,HCT116,scaled,whole,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
10,1.907276,0.3447149,0.38537325056076766,,0.5276357984634626,0.34438394553014073,IMR-90,scaled,whole,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
11,48.710747,0.4030312,0.4506896277919548,,-0.6048132012973089,-0.4977553233008803,NCI-H929,scaled,whole,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
12,3.4311886,0.31759655,0.3902819080443451,,-0.6068546168929859,-0.44866297287013135,Panc1,scaled,whole,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
