0,1,2
HG03575,0.8786289691925049,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_004014-25cd4rzs
K562,0.7059918642044067,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_004014-25cd4rzs
DND-41,0.7504835724830627,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_004014-25cd4rzs
GM12878,0.65857994556427,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_004014-25cd4rzs
A549,0.8402852416038513,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_004014-25cd4rzs
HCT116,0.8903170228004456,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_004014-25cd4rzs
IMR-90,0.6074000000953674,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_004014-25cd4rzs
NCI-H929,0.8206437230110168,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_004014-25cd4rzs
Panc1,0.687095582485199,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_004014-25cd4rzs
PC-3,0.6775891184806824,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_004014-25cd4rzs
MCF,0.8012022972106934,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_004014-25cd4rzs
GM21381,0.8229461312294006,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133018-32nqq0ep
GM23338,0.6437681317329407,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133018-32nqq0ep
HepG2,0.6131726503372192,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133018-32nqq0ep
RWPE2,0.6596888899803162,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133018-32nqq0ep
HG03575,0.8483742475509644,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133018-32nqq0ep
K562,0.7057167291641235,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133018-32nqq0ep
DND-41,0.765061616897583,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133018-32nqq0ep
GM12878,0.6436805129051208,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133018-32nqq0ep
A549,0.7989639639854431,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133018-32nqq0ep
HCT116,0.8616520166397095,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133018-32nqq0ep
IMR-90,0.5734148025512695,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133018-32nqq0ep
NCI-H929,0.8158692121505737,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133018-32nqq0ep
Panc1,0.6555472016334534,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133018-32nqq0ep
PC-3,0.6480733156204224,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133018-32nqq0ep
MCF,0.7742183208465576,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133018-32nqq0ep
GM21381,0.8537259101867676,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133148-jj277obf
GM23338,0.6761825680732727,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133148-jj277obf
HepG2,0.6658334732055664,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133148-jj277obf
RWPE2,0.7164012789726257,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133148-jj277obf
HG03575,0.8810631036758423,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133148-jj277obf
K562,0.7215558886528015,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133148-jj277obf
DND-41,0.7877600789070129,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133148-jj277obf
GM12878,0.6812376379966736,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133148-jj277obf
A549,0.8508853316307068,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133148-jj277obf
HCT116,0.9180786609649658,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133148-jj277obf
IMR-90,0.6451571583747864,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133148-jj277obf
NCI-H929,0.8434369564056396,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133148-jj277obf
Panc1,0.6783167719841003,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133148-jj277obf
PC-3,0.7147521376609802,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133148-jj277obf
MCF,0.8470784425735474,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133148-jj277obf
GM21381,0.8750033378601074,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_021531-92uop80z
GM23338,0.676777720451355,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_021531-92uop80z
HepG2,0.6334492564201355,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_021531-92uop80z
RWPE2,0.6488702893257141,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_021531-92uop80z
HG03575,0.9504538774490356,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_021531-92uop80z
K562,0.8205357193946838,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_021531-92uop80z
DND-41,0.7626478672027588,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_021531-92uop80z
GM12878,0.7115967273712158,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_021531-92uop80z
A549,0.8833966255187988,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_021531-92uop80z
HCT116,0.9092933535575867,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_021531-92uop80z
IMR-90,0.5843347311019897,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_021531-92uop80z
NCI-H929,0.8844316005706787,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_021531-92uop80z
Panc1,0.7232484817504883,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_021531-92uop80z
PC-3,0.5686157941818237,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_021531-92uop80z
MCF,0.7037050724029541,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_021531-92uop80z
GM21381,-0.07105252146720886,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_013722-kvud28pu
GM23338,-0.00015595379227306694,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_013722-kvud28pu
HepG2,-0.00203796592541039,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_013722-kvud28pu
RWPE2,-0.00039469904731959105,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_013722-kvud28pu
HG03575,0.001128557720221579,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_013722-kvud28pu
K562,-0.00017406661936547607,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_013722-kvud28pu
DND-41,-0.0003310602332931012,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_013722-kvud28pu
GM12878,0.0033383523114025593,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_013722-kvud28pu
A549,-0.0002701039193198085,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_013722-kvud28pu
HCT116,0.0006183126242831349,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_013722-kvud28pu
IMR-90,-0.00020732783013954759,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_013722-kvud28pu
NCI-H929,-0.00035378109896555543,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_013722-kvud28pu
Panc1,-0.0001920798677019775,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_013722-kvud28pu
PC-3,0.003478077007457614,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_013722-kvud28pu
MCF,0.009785409085452557,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_013722-kvud28pu
GM21381,0.818801760673523,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_003738-3a13d5cz
GM23338,0.6215291619300842,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_003738-3a13d5cz
HepG2,0.617684006690979,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_003738-3a13d5cz
RWPE2,0.6686240434646606,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_003738-3a13d5cz
HG03575,0.8519839644432068,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_003738-3a13d5cz
K562,0.6967549324035645,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_003738-3a13d5cz
DND-41,0.7320591807365417,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_003738-3a13d5cz
GM12878,0.6301394701004028,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_003738-3a13d5cz
A549,0.8196033835411072,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_003738-3a13d5cz
HCT116,0.8866801857948303,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_003738-3a13d5cz
IMR-90,0.5974653363227844,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_003738-3a13d5cz
NCI-H929,0.8137207627296448,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_003738-3a13d5cz
Panc1,0.6703702807426453,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_003738-3a13d5cz
PC-3,0.664078950881958,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_003738-3a13d5cz
MCF,0.7833967804908752,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_003738-3a13d5cz
GM21381,1.0873850584030151,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_002826-kr1pxs6j
GM23338,0.7659525871276855,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_002826-kr1pxs6j
HepG2,1.4039779901504517,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_002826-kr1pxs6j
RWPE2,0.9873770475387573,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_002826-kr1pxs6j
HG03575,0.8199875950813293,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_002826-kr1pxs6j
K562,0.9957665801048279,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_002826-kr1pxs6j
DND-41,1.171021819114685,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_002826-kr1pxs6j
GM12878,0.8673505187034607,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_002826-kr1pxs6j
A549,1.992429256439209,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211014_002826-kr1pxs6j
